Contest ID,Index,Name,Rating,Tags,Date Solved,URL
1,B,Spreadsheet,1600,"implementation, math",2022-09-12,https://codeforces.com/problemset/problem/1/B
11,B,Jumping Jack,1600,math,2025-08-19,https://codeforces.com/problemset/problem/11/B
75,C,Modified GCD,1600,"binary search, number theory",2022-03-31,https://codeforces.com/problemset/problem/75/C
178,C1,Smart Beaver and Resolving Collisions,1600,,2022-09-30,https://codeforces.com/problemset/problem/178/C1
207,A1,Beaver's Calculator 1.0,1600,greedy,2022-09-30,https://codeforces.com/problemset/problem/207/A1
207,B1,Military Trainings,1600,,2022-09-30,https://codeforces.com/problemset/problem/207/B1
207,D5,The Beaver's Problem - 3,1600,,2022-09-29,https://codeforces.com/problemset/problem/207/D5
207,D7,The Beaver's Problem - 3,1600,,2022-09-29,https://codeforces.com/problemset/problem/207/D7
235,A,LCM Challenge,1600,number theory,2022-03-02,https://codeforces.com/problemset/problem/235/A
237,C,Primes on Interval,1600,"binary search, number theory, two pointers",2025-09-25,https://codeforces.com/problemset/problem/237/C
246,D,Colorful Graph,1600,"brute force, dfs and similar, graphs",2022-04-05,https://codeforces.com/problemset/problem/246/D
316,B2,EKG,1600,"dfs and similar, dp",2022-09-23,https://codeforces.com/problemset/problem/316/B2
322,B,Ciel and Flowers,1600,"combinatorics, math",2022-03-20,https://codeforces.com/problemset/problem/322/B
343,B,Alternating Current,1600,"data structures, greedy, implementation",2022-03-29,https://codeforces.com/problemset/problem/343/B
349,C,Mafia,1600,implementation,2025-09-17,https://codeforces.com/problemset/problem/349/C
369,C,Valera and Elections,1600,"dfs and similar, graphs, trees",2022-04-06,https://codeforces.com/problemset/problem/369/C
371,C,Hamburgers,1600,"binary search, brute force",2022-03-01,https://codeforces.com/problemset/problem/371/C
372,A,Counting Kangaroos is Fun,1600,"binary search, greedy, sortings, two pointers",2025-09-15,https://codeforces.com/problemset/problem/372/A
377,A,Maze,1600,dfs and similar,2025-09-06,https://codeforces.com/problemset/problem/377/A
431,C,k-Tree,1600,"dp, implementation, trees",2022-02-28,https://codeforces.com/problemset/problem/431/C
446,A,DZY Loves Sequences,1600,"dp, implementation, two pointers",2022-03-08,https://codeforces.com/problemset/problem/446/A
560,C,Gerald's Hexagon,1600,geometry,2025-10-04,https://codeforces.com/problemset/problem/560/C
601,A,The Two Routes,1600,"graphs, shortest paths",2025-09-19,https://codeforces.com/problemset/problem/601/A
607,A,Chain Reaction,1600,"binary search, dp",2022-04-03,https://codeforces.com/problemset/problem/607/A
